교재,레벨,구간,Chapter,영어,뜻,,
T-map,Basic,A1-A3,3,common,흔한,,
T-map,Basic,A1-A3,3,concentrate,집중하다,,
T-map,Basic,A1-A3,3,concentration,집중,,
T-map,Basic,A1-A3,3,consider,"여기다, 생각하다",,
T-map,Basic,A1-A3,3,curious,궁금한,,
T-map,Basic,A1-A3,3,disappointed,실망한,,
T-map,Basic,A1-A3,3,Don't worry.,걱정하지 마,,
T-map,Basic,A1-A3,3,expect,예상하다,,
T-map,Basic,A1-A3,3,explain,설명하다,,
T-map,Basic,A1-A3,3,familiar,친숙한,,
T-map,Basic,A1-A3,3,focus,집중하다,,
T-map,Basic,A1-A3,3,good-looking,잘 생긴,,
T-map,Basic,A1-A3,3,How nice!,정말 멋지다!,,
T-map,Basic,A1-A3,3,hurt,"방해하다, 지장을 주다",,
T-map,Basic,A1-A3,3,improve,향상시키다,,
T-map,Basic,A1-A3,3,it doesn't matter,중요하지 않다,,
T-map,Basic,A1-A3,3,on foot,걸어서,,
T-map,Basic,A1-A3,3,on the other hand,다른 한편으로는,,
T-map,Basic,A1-A3,3,opposite,반대,,
T-map,Basic,A1-A3,3,ordinary,보통의,,
T-map,Basic,A1-A3,3,performance,"(과제 등의) 수행, 실행",,
T-map,Basic,A1-A3,3,prove,증명하다,,
T-map,Basic,A1-A3,3,relax,편하게 하다,,
T-map,Basic,A1-A3,3,satisfied,만족하는,,
T-map,Basic,A1-A3,3,seat oneself,앉다,,
T-map,Basic,A1-A3,3,signal,신호,,
T-map,Basic,A1-A3,3,study,연구,,
T-map,Basic,A1-A3,3,training,훈련,,
T-map,Basic,A1-A3,3,trust,신뢰,,
T-map,Basic,A1-A3,3,trustworthy,신뢰할 수 있는,,
T-map,Basic,A1-A3,3,unpleasant,불쾌한,,
T-map,Basic,A1-A3,3,whether,~인지 아닌지,,
T-map,Basic,A1-A3,3,wonder,궁금해하다,,
T-map,Basic,A1-A3,4,alike,비슷한,,
T-map,Basic,A1-A3,4,at the age of,~의 나이에,,
T-map,Basic,A1-A3,4,be remembered as,~으로 기억되다,,
T-map,Basic,A1-A3,4,beauty,아름다움,,
T-map,Basic,A1-A3,4,capture,포착하다,,
T-map,Basic,A1-A3,4,charge for,~에 대한 요금을 청구하다,,
T-map,Basic,A1-A3,4,connect A to B,A와 B를 연결하다,,
T-map,Basic,A1-A3,4,consider,여기다,,
T-map,Basic,A1-A3,4,display,보여주다,,
T-map,Basic,A1-A3,4,Don't forget to,~하는 것을 잊지 마세요,,
T-map,Basic,A1-A3,4,exactly,정확히,,
T-map,Basic,A1-A3,4,factory,공장,,
T-map,Basic,A1-A3,4,film,영화,,
T-map,Basic,A1-A3,4,inventor,발명가,,
T-map,Basic,A1-A3,4,known,알려진,,
T-map,Basic,A1-A3,4,last,지속하다,,
T-map,Basic,A1-A3,4,make a reservation,예약하다,,
T-map,Basic,A1-A3,4,mystery,신비,,
T-map,Basic,A1-A3,4,object,대상,,
T-map,Basic,A1-A3,4,photographer,사진작가,,
T-map,Basic,A1-A3,4,publish,출판하다,,
T-map,Basic,A1-A3,4,quite a while,꽤 오랫동안,,
T-map,Basic,A1-A3,4,record,녹화하다,,
T-map,Basic,A1-A3,4,recording,녹화,,
T-map,Basic,A1-A3,4,scene,장면,,
T-map,Basic,A1-A3,4,second,초,,
T-map,Basic,A1-A3,4,share,공유하다,,
T-map,Basic,A1-A3,4,shoot,촬영하다,,
T-map,Basic,A1-A3,4,silent,"무성의, 말이 없는",,
T-map,Basic,A1-A3,4,single,하나의,,
T-map,Basic,A1-A3,4,snowflake,눈송이,,
T-map,Basic,A1-A3,4,take a picture of,~의 사진을 찍다,,
T-map,Basic,A1-A3,4,title,제목을 붙이다,,
T-map,Basic,A1-A3,4,turn into,~으로 변하다,,
T-map,Basic,A1-A3,4,wait for,~을 기다리다,,
T-map,Basic,A1-A3,4,whole,전체의,,
T-map,Basic,A1-A3,4,Why don't we ~?,~하는 것이 어때?,,
T-map,Basic,A1-A3,4,Why not?,물론이지,,
T-map,Basic,A1-A3,4,worker,노동자,,
T-map,Basic,A1-A3,4,Would you like to ~?,~하시겠어요?,,
T-map,Basic,A1-A3,5,alone,혼자의,,
T-map,Basic,A1-A3,5,anyway,"그런데, 그건 그렇고",,
T-map,Basic,A1-A3,5,avoid,피하다,,
T-map,Basic,A1-A3,5,bad news,나쁜 소식,,
T-map,Basic,A1-A3,5,be busy with,~하느라 바쁘다,,
T-map,Basic,A1-A3,5,beside,~ 옆에,,
T-map,Basic,A1-A3,5,break one's heart,~을 비통하게 만들다,,
T-map,Basic,A1-A3,5,communicate,의사소통을 하다,,
T-map,Basic,A1-A3,5,dining room,식당,,
T-map,Basic,A1-A3,5,equipment,"장비, 기구",,
T-map,Basic,A1-A3,5,even though,비록 ~일지라도,,
T-map,Basic,A1-A3,5,except for,~을 제외하고는,,
T-map,Basic,A1-A3,5,forever,영원히,,
T-map,Basic,A1-A3,5,friendship,우정,,
T-map,Basic,A1-A3,5,give A a call,A에게 전화를 걸다,,
T-map,Basic,A1-A3,5,gone,떠난,,
T-map,Basic,A1-A3,5,heavy traffic,교통 체증,,
T-map,Basic,A1-A3,5,hit,~와 부딪치다,,
T-map,Basic,A1-A3,5,I feel like,~처럼 느껴져,,
T-map,Basic,A1-A3,5,I'd like to,~하고 싶습니다,,
T-map,Basic,A1-A3,5,in the distance,먼 곳에,,
T-map,Basic,A1-A3,5,introduce A to B,A를 B에게 소개하다,,
T-map,Basic,A1-A3,5,kitten,새끼 고양이,,
T-map,Basic,A1-A3,5,Korean-American,한국계 미국인의,,
T-map,Basic,A1-A3,5,lonely,외로운,,
T-map,Basic,A1-A3,5,luckily,운 좋게도,,
T-map,Basic,A1-A3,5,make friends,친구를 사귀다,,
T-map,Basic,A1-A3,5,miss,그리워하다,,
T-map,Basic,A1-A3,5,near,~ 가까이에,,
T-map,Basic,A1-A3,5,on the side of,~의 옆에,,
T-map,Basic,A1-A3,5,pick up,(차로) 데리러 가다,,
T-map,Basic,A1-A3,5,road,도로,,
T-map,Basic,A1-A3,5,sad,슬픈,,
T-map,Basic,A1-A3,5,situation,상황,,
T-map,Basic,A1-A3,5,so far,지금까지,,
T-map,Basic,A1-A3,5,terrible,끔찍한,,
T-map,Basic,A1-A3,5,these days,요즘에는,,
T-map,Basic,A1-A3,5,used to,~하곤 했다,,
T-map,Basic,A1-A3,5,What happened?,무슨 일이 있었나요?,,
T-map,Basic,A1-A3,5,What's wrong?,무슨 일이니?,,
T-map,Basic,A1-A3,6,advice,조언,,
T-map,Basic,A1-A3,6,attention,"주목, 관심",,
T-map,Basic,A1-A3,6,bottle,병,,
T-map,Basic,A1-A3,6,brain,두뇌,,
T-map,Basic,A1-A3,6,carry,가지고 다니다,,
T-map,Basic,A1-A3,6,confuse,혼란스럽게 하다,,
T-map,Basic,A1-A3,6,culture,문화,,
T-map,Basic,A1-A3,6,customer,고객,,
T-map,Basic,A1-A3,6,damage,손상을 주다,,
T-map,Basic,A1-A3,6,divide,나누다,,
T-map,Basic,A1-A3,6,document,"문서, (컴퓨터) 파일",,
T-map,Basic,A1-A3,6,during,~ 동안에,,
T-map,Basic,A1-A3,6,effective,효과적인,,
T-map,Basic,A1-A3,6,expert,전문가,,
T-map,Basic,A1-A3,6,from time to time,가끔,,
T-map,Basic,A1-A3,6,have fun ~ing,~하는 것을 즐기다,,
T-map,Basic,A1-A3,6,have trouble ~ing,~ 하는데 어려움을 겪다,,
T-map,Basic,A1-A3,6,Here's,여기 ~이 있습니다,,
T-map,Basic,A1-A3,6,jaw,턱,,
T-map,Basic,A1-A3,6,language,언어,,
T-map,Basic,A1-A3,6,last,지속되다,,
T-map,Basic,A1-A3,6,make sure,반드시 ~하다,,
T-map,Basic,A1-A3,6,mammal,포유류,,
T-map,Basic,A1-A3,6,memorize,암기하다,,
T-map,Basic,A1-A3,6,memory,기억,,
T-map,Basic,A1-A3,6,option,선택,,
T-map,Basic,A1-A3,6,physical,신체의,,
T-map,Basic,A1-A3,6,print out,출력하다,,
T-map,Basic,A1-A3,6,put on,"(얼굴, 피부 등에) ~을 바르다",,
T-map,Basic,A1-A3,6,reapply,"다시 바르다, 덧바르다",,
T-map,Basic,A1-A3,6,related to,~와 관련 있는,,
T-map,Basic,A1-A3,6,replace,"대신하다, 바꾸다",,
T-map,Basic,A1-A3,6,skin,피부,,
T-map,Basic,A1-A3,6,skin care,피부 관리,,
T-map,Basic,A1-A3,6,stamp,우표,,
T-map,Basic,A1-A3,6,stay healthy,건강을 유지하다,,
T-map,Basic,A1-A3,6,Thanks for,~에 대해 고마워,,
T-map,Basic,A1-A3,6,That sounds wonderful!,좋았겠구나!,,
T-map,Basic,A1-A3,6,The total is,합계 금액이 ~입니다,,
T-map,Basic,A1-A3,6,type up,타자 치다,,
T-map,Basic,A1-A3,7,ahead of,~ 앞에,,
T-map,Basic,A1-A3,7,announce,"발표하다, 알리다",,
T-map,Basic,A1-A3,7,archery,양궁,,
T-map,Basic,A1-A3,7,arrow,화살,,
T-map,Basic,A1-A3,7,athlete,선수,,
T-map,Basic,A1-A3,7,be about +to부정사,막 ~하려는 참이다,,
T-map,Basic,A1-A3,7,be held,열리다,,
T-map,Basic,A1-A3,7,be known for,~으로 알려져 있다,,
T-map,Basic,A1-A3,7,be made of,~으로 만들어지다,,
T-map,Basic,A1-A3,7,bow,활,,
T-map,Basic,A1-A3,7,competition,경쟁 상대,,
T-map,Basic,A1-A3,7,cost,(비용이) ~이다,,
T-map,Basic,A1-A3,7,display,전시하다,,
T-map,Basic,A1-A3,7,end up ~ing,결국 ~하게 되다,,
T-map,Basic,A1-A3,7,enemy,적,,
T-map,Basic,A1-A3,7,entire,전체의,,
T-map,Basic,A1-A3,7,expensive,비싼,,
T-map,Basic,A1-A3,7,experience,경험,,
T-map,Basic,A1-A3,7,farmer,농부,,
T-map,Basic,A1-A3,7,from A to B,A에서 B까지,,
T-map,Basic,A1-A3,7,giant,"거대한, 위대한",,
T-map,Basic,A1-A3,7,grocery,식료품,,
T-map,Basic,A1-A3,7,I'm good at,나는 ~에 능숙해,,
T-map,Basic,A1-A3,7,I'm so excited!,저는 너무 신이 나요!,,
T-map,Basic,A1-A3,7,impressed,감명을 받은,,
T-map,Basic,A1-A3,7,It takes a lot of time to,~하는 것은 많은 시간이 든다,,
T-map,Basic,A1-A3,7,May I take your order,주문하시겠어요?,,
T-map,Basic,A1-A3,7,modern,현대의,,
T-map,Basic,A1-A3,7,national sport,국기,,
T-map,Basic,A1-A3,7,nervous,긴장한,,
T-map,Basic,A1-A3,7,not a chance,어림없다,,
T-map,Basic,A1-A3,7,popular,인기 있는,,
T-map,Basic,A1-A3,7,practice,행하다,,
T-map,Basic,A1-A3,7,run after,"~을 따라가다, 뒤쫓다",,
T-map,Basic,A1-A3,7,shoot,쏘다,,
T-map,Basic,A1-A3,7,suggest,제안하다,,
T-map,Basic,A1-A3,7,thankfully,감사하게도,,
T-map,Basic,A1-A3,7,tool,도구,,
T-map,Basic,A1-A3,7,traditional,전통적인,,
T-map,Basic,A1-A3,7,training,훈련,,
T-map,Basic,A1-A3,8,absorb,흡수하다,,
T-map,Basic,A1-A3,8,allow A +to부정사,A를 ~하도록 허락하다,,A를 ~하도록 허락하다
T-map,Basic,A1-A3,8,Are you ready to order?,주문하시겠어요?,,
T-map,Basic,A1-A3,8,be able +to부정사,~할 수 있다,,
T-map,Basic,A1-A3,8,be covered with,~으로 덮이다,,
T-map,Basic,A1-A3,8,be made of,~으로 만들어지다,,
T-map,Basic,A1-A3,8,be worth ~ing,~할 가치가 있다,,
T-map,Basic,A1-A3,8,change,거스름돈,,
T-map,Basic,A1-A3,8,cost,비용,,
T-map,Basic,A1-A3,8,Could you ~?,~해주시겠어요?,,
T-map,Basic,A1-A3,8,discover,알아내다,,
T-map,Basic,A1-A3,8,electricity bill,전기 요금 통지서,,
T-map,Basic,A1-A3,8,engineer,기술자,,
T-map,Basic,A1-A3,8,environment,환경,,
T-map,Basic,A1-A3,8,highway,고속도로,,
T-map,Basic,A1-A3,8,inspire,영감을 주다,,
T-map,Basic,A1-A3,8,invent,발명하다,,
T-map,Basic,A1-A3,8,loop,고리,,
T-map,Basic,A1-A3,8,planet,행성,,
T-map,Basic,A1-A3,8,predict,"예상하다, 예측하다",,
T-map,Basic,A1-A3,8,present,선물,,
T-map,Basic,A1-A3,8,produce,생산하다,,
T-map,Basic,A1-A3,8,product,상품,,
T-map,Basic,A1-A3,8,reality,현실,,
T-map,Basic,A1-A3,8,realize,알아차리다,,
T-map,Basic,A1-A3,8,remove,"제거하다, 없애다",,
T-map,Basic,A1-A3,8,replace A with B,A를 B와 바꾸다,,
T-map,Basic,A1-A3,8,research,연구,,
T-map,Basic,A1-A3,8,restaurant,식당,,
T-map,Basic,A1-A3,8,stick A to B,A를 B에 붙이다,,
T-map,Basic,A1-A3,8,sticky,"달라붙는, 끈적거리는",,
T-map,Basic,A1-A3,8,strap,"끈, 줄",,
T-map,Basic,A1-A3,8,surface,표면,,
T-map,Basic,A1-A3,8,technology,기술,,
T-map,Basic,A1-A3,8,That’s too bad.,유감이네요,,
T-map,Basic,A1-A3,8,transform,"바꾸다, 변형시키다",,
T-map,Basic,A1-A3,8,turn A into B,A를 B로 바꾸다,,
T-map,Basic,A1-A3,8,various,"다양한, 여러 가지의",,
T-map,Basic,A1-A3,8,volunteer,자원봉사자,,
T-map,Basic,A1-A3,8,Which ~do you like most?,어느 ~을 가장 좋아하니?,,
T-map,Basic,A1-A3,9,action,"조치, 행동",,
T-map,Basic,A1-A3,9,adopt,"(특정한 방식이나 자세를) 쓰다, 취하다",,
T-map,Basic,A1-A3,9,after all,결국에는,,
T-map,Basic,A1-A3,9,allow A to,A가 ~하는 것을 허락하다,,
T-map,Basic,A1-A3,9,appear,"생기다, 나타나다",,
T-map,Basic,A1-A3,9,appointment,약속,,
T-map,Basic,A1-A3,9,cancer,암,,
T-map,Basic,A1-A3,9,cause,초래하다,,
T-map,Basic,A1-A3,9,contain,함유하다,,
T-map,Basic,A1-A3,9,depend on,~에 의존하다,,
T-map,Basic,A1-A3,9,eating habit,식생활 습관,,
T-map,Basic,A1-A3,9,effective,효과적인,,
T-map,Basic,A1-A3,9,exist,존재하다,,
T-map,Basic,A1-A3,9,fix,해결책,,
T-map,Basic,A1-A3,9,flavor,맛,,
T-map,Basic,A1-A3,9,government,정부,,
T-map,Basic,A1-A3,9,have a cold,감기에 걸리다,,
T-map,Basic,A1-A3,9,healthcare,"건강관리, 의료",,
T-map,Basic,A1-A3,9,healthy,건강한,,
T-map,Basic,A1-A3,9,How have you been doing?,어떻게 지냈어?,,
T-map,Basic,A1-A3,9,"I'd like to, but I can't","그러고 싶지만, 그럴 수가 없어",,
T-map,Basic,A1-A3,9,keep in mind,명심하다,,
T-map,Basic,A1-A3,9,Let's,~하자,,
T-map,Basic,A1-A3,9,lifestyle,생활방식,,
T-map,Basic,A1-A3,9,look for,~을 찾다,,
T-map,Basic,A1-A3,9,make money,"돈을 벌다, 수익을 올리다",,
T-map,Basic,A1-A3,9,medical,"의학의, 의료의",,
T-map,Basic,A1-A3,9,medicine,약,,
T-map,Basic,A1-A3,9,pain,고통,,
T-map,Basic,A1-A3,9,patient,환자,,
T-map,Basic,A1-A3,9,pill,알약,,
T-map,Basic,A1-A3,9,prevent A from B,A가 B하는 것을 막다,,
T-map,Basic,A1-A3,9,provide,제공하다,,
T-map,Basic,A1-A3,9,raise,"(가격을) 올리다, 인상하다",,
T-map,Basic,A1-A3,9,relieve,해소하다,,
T-map,Basic,A1-A3,9,result,결과,,
T-map,Basic,A1-A3,9,simply,"그저, 단순히",,
T-map,Basic,A1-A3,9,stamp,우표,,
T-map,Basic,A1-A3,9,weight,"무게, 체중",,
T-map,Basic,A1-A3,9,when it comes to,~에 관해서라면,,
T-map,Basic,A1-A3,10,amazing,놀라운,,
T-map,Basic,A1-A3,10,average,평균의,,
T-map,Basic,A1-A3,10,bar,"(특정 음식이나 음료를 파는) 전문점, 바",,
T-map,Basic,A1-A3,10,Can you ~?,~할 수 있니?,,
T-map,Basic,A1-A3,10,castle,성,,
T-map,Basic,A1-A3,10,charge,청구하다,,
T-map,Basic,A1-A3,10,clear,"투명한, 맑은",,
T-map,Basic,A1-A3,10,common,평범한,,
T-map,Basic,A1-A3,10,create,창조하다,,
T-map,Basic,A1-A3,10,educate,교육하다,,
T-map,Basic,A1-A3,10,expect,예상하다,,
T-map,Basic,A1-A3,10,explain,설명하다,,
T-map,Basic,A1-A3,10,fall in love with,~와 사랑에 빠지다,,
T-map,Basic,A1-A3,10,famous,유명한,,
T-map,Basic,A1-A3,10,get married,결혼하다,,
T-map,Basic,A1-A3,10,get out of,"~에서 나오다, 내리다",,
T-map,Basic,A1-A3,10,globe,세계,,
T-map,Basic,A1-A3,10,in truth,사실은,,
T-map,Basic,A1-A3,10,include,포함하다,,
T-map,Basic,A1-A3,10,invite,초대하다,,
T-map,Basic,A1-A3,10,nearby,"가까운 곳의, 인근의",,
T-map,Basic,A1-A3,10,notice,알아채다,,
T-map,Basic,A1-A3,10,on the way to,~으로 가는 길에,,
T-map,Basic,A1-A3,10,park,주차하다,,
T-map,Basic,A1-A3,10,pass,지나가다,,
T-map,Basic,A1-A3,10,prevent,"막다, 예방하다",,
T-map,Basic,A1-A3,10,pull,당기다,,
T-map,Basic,A1-A3,10,real-life,실제의,,
T-map,Basic,A1-A3,10,respect,존중하다,,
T-map,Basic,A1-A3,10,safety,안전,,
T-map,Basic,A1-A3,10,shore,해변,,
T-map,Basic,A1-A3,10,sink,가라앉다,,
T-map,Basic,A1-A3,10,slightly,약간,,
T-map,Basic,A1-A3,10,Swedish,스웨덴(사람)의,,
T-map,Basic,A1-A3,10,temperature,"온도, 기온",,
T-map,Basic,A1-A3,10,That's right.,맞습니다,,
T-map,Basic,A1-A3,10,toe,발가락,,
T-map,Basic,A1-A3,10,village,마을,,
T-map,Basic,A1-A3,10,What about ~?,~하는 것이 어때?,,
T-map,Basic,A1-A3,10,What are you doing?,뭐 하고 있니?,,
T-map,Basic,A4-A6,1,abroad,"해외로, 해외에",,
T-map,Basic,A4-A6,1,airfare,항공 요금,,
T-map,Basic,A4-A6,1,attraction,명소,,
T-map,Basic,A4-A6,1,August,8월,,
T-map,Basic,A4-A6,1,be connected to,~와 연관되다,,
T-map,Basic,A4-A6,1,be covered in,~으로 뒤덮이다,,
T-map,Basic,A4-A6,1,be held,"열리다, 개최되다",,
T-map,Basic,A4-A6,1,best wishes,안부(를 빌며),,
T-map,Basic,A4-A6,1,Certainly.,물론입니다,,
T-map,Basic,A4-A6,1,chore,(하기 싫은 따분한) 일,,
T-map,Basic,A4-A6,1,come out,나오다,,
T-map,Basic,A4-A6,1,cost,비용,,
T-map,Basic,A4-A6,1,Could you ~?,~해줄래?,,
T-map,Basic,A4-A6,1,crazy,"정상이 아닌, 말도 안 되는",,
T-map,Basic,A4-A6,1,decoration,장식(품),,
T-map,Basic,A4-A6,1,during,~ 중에,,
T-map,Basic,A4-A6,1,eat out,외식하다,,
T-map,Basic,A4-A6,1,enjoy,즐기다,,
T-map,Basic,A4-A6,1,explore,답사하다,,
T-map,Basic,A4-A6,1,feel like,~처럼 느껴지다,,
T-map,Basic,A4-A6,1,festival,축제,,
T-map,Basic,A4-A6,1,have a great time,즐거운 시간을 보내다,,
T-map,Basic,A4-A6,1,hurt,아프다,,
T-map,Basic,A4-A6,1,imagine,상상하다,,
T-map,Basic,A4-A6,1,instead of,~ 대신에,,
T-map,Basic,A4-A6,1,Let's see.,어디 보자,,
T-map,Basic,A4-A6,1,local,"(자신이 살고 있는) 지역의, 근거리의",,
T-map,Basic,A4-A6,1,neighborhood,이웃,,
T-map,Basic,A4-A6,1,official,공식의,,
T-map,Basic,A4-A6,1,participate in,~에 참가하다,,
T-map,Basic,A4-A6,1,popularity,인기,,
T-map,Basic,A4-A6,1,regular,"평범한, 보통의",,
T-map,Basic,A4-A6,1,reservation,예약,,
T-map,Basic,A4-A6,1,station,"역, 정거장",,
T-map,Basic,A4-A6,1,still,그럼에도 불구하고,,
T-map,Basic,A4-A6,1,these days,요즘,,
T-map,Basic,A4-A6,1,throw,던지다,,
T-map,Basic,A4-A6,1,vacation,"휴가, 방학",,
T-map,Basic,A4-A6,1,What's the matter?,무슨 일이야?,,
T-map,Basic,A4-A6,1,wonder,궁금(해)하다,,
T-map,Basic,A4-A6,2,amazingly,놀랍게도,,
T-map,Basic,A4-A6,2,anniversary,(~주년) 기념일,,
T-map,Basic,A4-A6,2,be made of,~으로 만들어지다,,
T-map,Basic,A4-A6,2,burn something down,~을 태우다,,
T-map,Basic,A4-A6,2,business trip,출장,,
T-map,Basic,A4-A6,2,come up with,내놓다,,
T-map,Basic,A4-A6,2,crash into,~와 충돌하다,,
T-map,Basic,A4-A6,2,destroy,파괴하다,,
T-map,Basic,A4-A6,2,emergency,비상(사태),,
T-map,Basic,A4-A6,2,even though,~에도 불구하고,,
T-map,Basic,A4-A6,2,flame,"불길, 불꽃",,
T-map,Basic,A4-A6,2,frightened,겁먹은,,
T-map,Basic,A4-A6,2,happen,발생하다,,
T-map,Basic,A4-A6,2,I'm afraid of,나는 ~을 두려워해,,
T-map,Basic,A4-A6,2,I'm thinking of,~을 생각(고려) 중이다,,
T-map,Basic,A4-A6,2,in front of,~의 앞에,,
T-map,Basic,A4-A6,2,in the end,결국,,
T-map,Basic,A4-A6,2,instantly,"즉각, 즉시",,
T-map,Basic,A4-A6,2,keep A from B,A가 B하는 것을 막다,,
T-map,Basic,A4-A6,2,lesson,"수업 (교습, 교육)",,
T-map,Basic,A4-A6,2,memory,기억,,
T-map,Basic,A4-A6,2,more than,"~보다 더 많은, ~ 이상의",,
T-map,Basic,A4-A6,2,navy,해군,,
T-map,Basic,A4-A6,2,nervously,초조하게,,
T-map,Basic,A4-A6,2,nightmare,악몽,,
T-map,Basic,A4-A6,2,panic,겁에 질려 어쩔 줄을 모르다,,
T-map,Basic,A4-A6,2,path,"(나아가는) 방향, 길",,
T-map,Basic,A4-A6,2,Please have a seat here.,여기 앉으세요,,
T-map,Basic,A4-A6,2,property,"재산, 소유물",,
T-map,Basic,A4-A6,2,realize,"깨닫다, 알아차리다",,
T-map,Basic,A4-A6,2,shocked,"놀란, 충격을 받은",,
T-map,Basic,A4-A6,2,shorts,반바지,,
T-map,Basic,A4-A6,2,spread,"번지다, 퍼지다",,
T-map,Basic,A4-A6,2,terrible,끔찍한,,
T-map,Basic,A4-A6,2,That would be nice.,그거 좋겠네요,,
T-map,Basic,A4-A6,2,to-do list,해야 할 일을 적은 목록,,
T-map,Basic,A4-A6,2,trade,무역,,
T-map,Basic,A4-A6,2,tragedy,비극,,
